
@relation 'Luv'
@attribute x real
@attribute y real
@attribute L real
@attribute U real
@attribute V real
@data
3,24,57.187584,-11.026550,-13.329850
3,25,58.654226,-10.649063,-12.216194
3,26,57.539350,-10.911776,-12.517568
3,27,55.231133,-11.513804,-13.918885
3,28,55.828153,-10.292281,-14.239340
3,29,55.686808,-10.814528,-12.925760
3,30,54.210060,-10.669378,-14.761054
3,31,55.885136,-10.342884,-15.675980
3,32,57.186137,-10.398251,-11.062894
3,33,58.178785,-9.219373,-12.716487
3,34,60.165631,-9.804050,-11.718014
3,35,58.496175,-9.708624,-13.431853
3,36,60.290883,-9.341062,-12.923332
3,37,60.863981,-10.244965,-13.631525
3,38,61.328401,-9.137233,-12.641336
3,39,60.238262,-7.348084,-12.519620
3,40,57.689280,-3.049879,-5.094958
3,41,56.322180,-2.734769,-7.414648
3,42,65.610704,-2.231792,-6.050950
3,43,73.561385,0.273883,-6.767248
3,44,79.095697,3.272490,-6.848910
3,45,80.146652,4.197207,-6.964453
3,46,81.066335,5.730722,-7.404134
3,47,83.082117,4.916051,-6.838685
3,48,83.906584,4.844540,-6.739207
3,49,84.717663,4.775658,-6.643385
3,50,85.515886,4.709251,-6.551008
3,51,86.007899,5.249456,-6.782334
3,52,86.509602,5.001797,-5.543548
3,53,87.239810,4.637305,-5.537865
3,54,87.322940,3.695057,-6.131232
3,55,87.893164,3.658974,-6.071359
3,56,88.883751,2.750943,-5.757377
3,57,88.856998,2.814529,-4.960853
3,58,89.265984,3.086187,-4.864309
3,59,88.961817,3.719794,-4.364821
3,60,89.040470,4.300428,-4.234118
3,61,88.947388,4.861392,-4.516293
3,62,88.974095,4.793879,-5.313111
3,63,88.920297,5.644193,-5.530188
3,64,89.198492,4.353232,-3.423650
3,65,89.409028,4.273440,-4.207547
3,66,88.064278,7.442092,-6.041826
3,67,87.725296,8.908372,-6.572194
3,68,88.237349,9.277701,-7.993537
3,69,84.752630,12.597782,-8.741067
3,70,83.560015,13.680325,-7.055160
3,71,83.325498,12.917669,-8.963024
3,72,83.531888,12.870686,-8.930424
3,73,84.365968,10.275563,-8.052647
3,74,84.513776,7.171626,-7.844380
3,75,85.924495,4.641467,-6.922669
3,76,86.800208,5.143666,-7.101357
3,77,87.281200,4.533717,-6.761962
3,78,87.691926,2.179070,-6.409466
3,79,88.134339,5.027114,-6.940445
3,80,88.269863,3.635418,-6.032273
3,81,88.829860,3.600808,-5.974844
3,82,89.160701,3.289351,-6.003193
3,83,89.711324,3.258776,-5.947393
3,84,89.879420,4.368992,-6.077676
3,85,89.514147,4.396074,-6.115349
3,86,90.075244,3.238797,-5.910929
3,87,91.267515,1.887010,-4.557973
3,88,90.680834,2.728748,-4.809657
3,89,90.539461,3.020262,-4.760401
3,90,90.539461,3.020262,-4.760401
3,91,90.539461,3.020262,-4.760401
3,92,90.436683,3.219130,-5.875036
3,93,90.833687,3.480834,-5.775771
3,94,90.422651,4.329165,-6.022273
3,95,89.787810,4.920054,-6.356745
3,96,88.734246,6.374472,-7.354973
3,97,89.618361,4.901937,-6.767626
3,98,89.787810,4.920054,-6.356745
3,99,89.130877,6.656529,-6.848820
4,0,45.323197,-10.774410,-11.156124
4,1,49.117451,-11.807560,-11.448432
4,2,49.631102,-12.416742,-14.840761
4,3,50.565124,-12.150101,-14.522066
4,4,52.295315,-11.616510,-12.359023
4,5,51.855031,-11.735462,-12.485579
4,6,52.358338,-11.658791,-13.934842
4,7,53.372268,-10.871854,-15.041178
4,8,55.202127,-11.491872,-13.183032
4,9,55.631020,-11.411889,-13.795682
4,10,57.298038,-12.571176,-12.918588
4,11,58.420102,-12.266534,-12.605527
4,12,56.804661,-11.119696,-13.442453
4,13,57.160109,-11.003158,-12.622398
4,14,56.776896,-11.096559,-12.729544
4,15,54.797367,-11.596542,-13.303105
4,16,53.973664,-11.813535,-13.552031
4,17,56.776896,-11.096559,-12.729544
4,18,56.530475,-12.785525,-13.138861
4,19,57.675863,-12.467456,-12.812001
4,20,56.888597,-12.658336,-12.314329
4,21,55.602337,-11.389626,-13.065739
4,22,56.804661,-11.119696,-13.442453
4,23,57.187584,-11.026550,-13.329850
4,24,57.298038,-12.571176,-12.918588
4,25,57.675863,-12.467456,-12.812001
4,26,56.417666,-11.214917,-13.557564
4,27,56.081669,-10.719885,-12.812640
4,28,54.734703,-8.672825,-10.446397
4,29,54.734703,-8.672825,-10.446397
4,30,57.049238,-9.450282,-13.034986
4,31,56.666320,-10.167800,-15.410618
4,32,57.298038,-12.571176,-12.918588
4,33,59.583211,-9.483685,-13.120651
4,34,59.812277,-9.878950,-11.807536
4,35,59.583211,-9.483685,-13.120651
4,36,59.813626,-10.476214,-13.939215
4,37,60.716924,-11.263847,-13.879807
4,38,59.812277,-9.878950,-11.807536
4,39,57.451828,-6.044372,-10.097392
4,40,58.509298,-0.424235,-5.885686
4,41,66.345196,0.406521,-6.606508
4,42,75.184479,0.977280,-6.909161
4,43,79.111962,3.233737,-7.318938
4,44,80.004452,4.474044,-7.837688
4,45,81.406223,5.028459,-7.499860
4,46,82.559168,5.578798,-7.207846
4,47,84.110588,4.827079,-6.714917
4,48,84.902795,5.978912,-6.781764
4,49,86.286559,5.836136,-6.619816
4,50,87.362430,5.127814,-6.625171
4,51,88.402864,4.479992,-6.232087
4,52,88.215335,4.494384,-6.252107
4,53,88.589722,4.465719,-6.212232
4,54,88.829860,3.600808,-5.974844
4,55,89.160701,3.289351,-6.003193
4,56,87.048020,4.652723,-5.556276
4,57,85.529407,5.088170,-5.639277
